,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Website
0,Norte Pisos e Acabamentos,ChIJF6SEt8F9mQARqfXtUDflNaQ,-22.8843334,-43.2782504,4.2,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",,,
1,Outlet do Acabamento,ChIJhx2IK8ipmQARaOZCVrf1taQ,-22.5078888,-43.1875988,5.0,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",,,
2,Juca Acabamentos,ChIJK7fh0nVnmQAR4M1OTLaQ1YM,-22.7532307,-43.4688299,4.2,"['store', 'point_of_interest', 'establishment']",,,
3,Stillo Decor Acabamentos,ChIJS6tH3k58mQARQkKWhGpDt7k,-22.884836,-43.277448,2.5,"['store', 'point_of_interest', 'establishment']",,,
4,Tutto Acabamentos Nobres,ChIJRYClwQbnmwARfxF-L6Yg378,-22.912539,-43.5559403,4.5,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",Tutto Acabamentos Nobres,(21) 2442-1295,https://tuttoacabamentos.com.br/
5,Simônica Acabamentos,ChIJ6a4mTfWEmQARNc14c4xWQ28,-22.881958,-43.0779316,4.0,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",,,
6,Acimel Materiais de Acabamento,ChIJ93Nx4k58mQARCidibMJ5ayI,-22.8844548,-43.2777736,4.2,"['store', 'point_of_interest', 'establishment']",Acimel Materiais de Acabamento,(21) 2201-2473,https://www.acimel.com.br/
7,Casa amarela acabamentos,ChIJD3Ms31p7mQARvcIa1HkC4JQ,-22.8515547,-43.254515,0.0,"['home_goods_store', 'general_contractor', 'store', 'point_of_interest', 'establishment']",Casa amarela acabamentos,(21) 96448-5713,https://casa-amarela-acabamentos.negocio.site/?utm_source=gmb&utm_medium=referral
8,NaCerta Acabamentos,ChIJO-Tl3Q4ImQARzU3vhzygJgk,-22.5080326,-43.1871114,4.2,"['store', 'point_of_interest', 'establishment']",NaCerta Acabamentos,(24) 2231-4545,http://www.nacerta.com.br
9,Barroart Acabamentos,ChIJE2XAIfG_mQARFYKqG8Kn5BY,-22.7482224,-42.86980519999999,4.7,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",,,
10,randimar material de construção e acabamentos,ChIJz5Y9CZvtmQARcdDo5fOUkN0,-22.9574377,-42.9815981,5.0,"['store', 'point_of_interest', 'establishment']",randimar material de construção e acabamentos,(21) 3602-8787,http://www.maricasa.com.br/
11,Braz 66 Ferragens e Acabamentos,ChIJD_Ycxf9_mQARhmsxrut7Gn4,-22.963285,-43.176373,4.5,"['hardware_store', 'store', 'point_of_interest', 'establishment']",Braz 66 Ferragens e Acabamentos,(21) 2542-8343,http://braz66.com/
12,Frei Galvão Pisos e Acabamentos,ChIJAYcGzvp3mQARKnQxWR5r-6U,-22.799885,-43.18252200000001,4.3,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",,,
13,Acimel Materiais de Acabamento - Depósito,ChIJNSAU4jt9mQAR-6JiQ0QZxfg,-22.8839908,-43.2788851,4.4,"['store', 'point_of_interest', 'establishment']",Acimel Materiais de Acabamento - Depósito,(21) 2201-2473,http://www.acimel.com.br/
14,Opção Certa Acabamentos e Ferragens,ChIJk1ySBOKPmQARZ-9vrhbjrY4,-22.8690419,-43.0053174,4.2,"['hardware_store', 'store', 'point_of_interest', 'establishment']",,,
15,Viseu Materiais de Acabamentos,ChIJzW1EMZXdmwARAowJ_zIowaY,-22.9638038,-43.3545302,4.9,"['home_goods_store', 'general_contractor', 'store', 'point_of_interest', 'establishment']",Viseu Materiais de Acabamentos,(21) 98880-0203,https://www.viseuacabamentos.com/
16,Acartonado Gesso Acabamentos,ChIJjesYyAl-mQARZFWKgKGQ-X0,-22.921196,-43.2318127,4.6,"['hardware_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",Acartonado Gesso Acabamentos,(21) 99972-0569,http://www.acartonadogesso.com.br/
17,Vieira e Rodrigues - Material de Construção e Acabamento,ChIJWYwBHrLVmwARwzsftEompT0,-22.9814004,-43.22411109999999,4.4,"['store', 'point_of_interest', 'establishment']",Vieira e Rodrigues - Material de Construção e Acabamento,(21) 99989-3774,https://instagram.com/vieiraerodrigues?igshid=1f66z7uadhu1q
18,Casa Bonita Acabamentos,ChIJFW2fNIrZmQAR7tIUhaO4GEo,-22.7105353,-42.622576,4.1,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",,,
19,Fino Acabamento,ChIJ9_T-OwnZmwARNQkfnzWZ2tU,-22.9488644,-43.3720123,0.0,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",,,
